Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;VixFix;Delta CloseVWAP
01/01/2020;28616,4;28778,1;28614,9;28772,1;183,86;38866;67,9;27906,79;26852,92;28607,99;0,546362622;164,11
02/01/2020;28672,4;28716,1;28462,8;28688,6;179,33;66862;64,45;27937,45;26871,19;28646,37;1,074999739;42,23
05/01/2020;28517,4;28664,1;28383,8;28628,1;182,67;56298;61,99;27964,53;26888,67;28641,14;1,349571286;-13,04
06/01/2020;28716,9;28768,8;28563,1;28606,1;183,19;58846;61,08;27989,69;26905,76;28633,07;0,726398143;-26,97
07/01/2020;28404,4;28819,6;28393,4;28817,1;201,96;70852;66,22;28022,14;26924,78;28673,02;1,47030756;144,08
08/01/2020;28850,4;28985,1;28836,4;28951,1;208,49;52054;69,01;28058,57;26944,94;28711,27;0,396185292;239,83
09/01/2020;29037,4;29048,4;28831,1;28868,1;213,77;44416;65,4;28090,32;26964,07;28727,74;0,414492023;140,36
12/01/2020;28896,4;28940,8;28814,1;28883,1;211,56;42286;65,75;28121,41;26983,17;28741,86;0,473211726;141,24
13/01/2020;28911,4;29052,6;28773,3;28953,1;223,71;55914;67,4;28154,02;27002,77;28764,53;0,621004314;188,57
14/01/2020;28918,4;29129,1;28885,3;29067,1;234,86;51126;69,95;28189,83;27023,31;28791,56;0,625449391;275,54
15/01/2020;29109,4;29218,1;29095,9;29213,1;239,64;40832;72,87;28229,96;27045,1;28819,64;0,401189877;393,46
16/01/2020;29323,4;29401,8;29292,1;29329,1;241,07;38558;74,95;28273,06;27067,83;28849,79;0,12615457;479,31
19/01/2020;29332,9;29336,6;29264,8;29333,6;227,88;16056;75,03;28314,65;27090,37;28861,42;0,234543322;472,18
20/01/2020;29211,9;29337,1;29148,1;29195,1;231,11;55226;67,84;28349,18;27111,31;28886,91;0,632380615;308,19
21/01/2020;29335,4;29335,9;29169,5;29237;217,71;44050;68,81;28383,99;27132,47;28907,02;0,559426732;329,98
