Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
01/01/2020;3239;3250,2;3235,3;3247,9;19,78;9104;72,25;3134,03;2985,28;3234,84;13,06
02/01/2020;3233,2;3246,1;3206,2;3242,1;19,91;18250;69,65;3138,27;2987,83;3238,61;3,49
05/01/2020;3224;3241,7;3208,8;3239,7;20,34;14024;68,56;3142,25;2990,34;3238,92;0,78
06/01/2020;3247,9;3253,9;3231,2;3239;19,89;14034;68,22;3146,04;2992,81;3238,94;0,06
07/01/2020;3226,3;3261,7;3225,1;3261,5;21,69;18728;72,85;3150,57;2995,48;3244,09;17,41
08/01/2020;3264,2;3276;3262,7;3273,5;21,93;11558;74,94;3155,39;2998,25;3247,73;25,77
09/01/2020;3282,6;3285,9;3268;3271,3;22,04;9650;73,82;3159,93;3000,97;3249,93;21,37
12/01/2020;3273,2;3284,6;3267,5;3284;21,63;8652;76,05;3164,8;3003,78;3252,57;31,43
13/01/2020;3288,6;3294,5;3274,4;3284,7;22,51;14084;76,18;3169,5;3006,58;3256,16;28,54
14/01/2020;3282;3298,4;3278,2;3290,6;23,36;11696;77,22;3174,25;3009,41;3259,09;31,51
15/01/2020;3298,4;3309,3;3296,9;3308,1;23,89;8184;80,01;3179,5;3012,38;3261,84;46,26
16/01/2020;3318,1;3328,1;3318,1;3325,4;23,98;7218;82,32;3185,22;3015,49;3264,84;60,56
19/01/2020;3325,6;3325,9;3318,1;3325;22,56;2400;82,08;3190,7;3018,57;3265,77;59,23
20/01/2020;3309,5;3330,2;3306,8;3322;23,19;10588;80,23;3195,85;3021,59;3269,36;52,64
21/01/2020;3335,3;3337,6;3324,6;3328,3;22,11;8903;81,19;3201,05;3024,64;3272,36;55,94
22/01/2020;3313,7;3324,8;3301,5;3324,8;21,05;13630;78,89;3205,9;3027,63;3276,15;48,65
23/01/2020;3330,1;3337,6;3280,9;3293,4;22,72;16688;61,95;3209,33;3030,27;3277,55;15,85
26/01/2020;3261,2;3267,2;3234;3249,7;25,34;26666;46,86;3210,91;3032,46;3274,35;-24,65
27/01/2020;3263,5;3286,2;3242,7;3282,2;25,84;18742;55,53;3213,71;3034,94;3274,94;7,26
28/01/2020;3285,7;3293,6;3271,6;3285,8;26,37;12696;56,38;3216,54;3037,44;3275,46;10,34
29/01/2020;3252,9;3268,9;3240,8;3265,7;28,31;24046;50,58;3218,46;3039,71;3274,64;-8,94
30/01/2020;3288,7;3289,7;3223;3231,2;31,85;30944;42,49;3218,96;3041,62;3270,42;-39,22
